index,Luminance Non-Windowed,C1,C2,C3,Time,Sound Amplitude,Respiration Synchrony,Dancer Acceleration Non-Windowed,Dancer Distance Non-Windowed,Choreographer/Performer Rating,Dramaturg Rating,Collaborator/Performer Rating,Dancer Acceleration,Dancer Distance,Audio RMS,Audio Pulse Clarity,Luminance
420,1.285206064,-0.56551081,-0.66881365,0.41807553,420.0,-0.501,-0.70644975,0.871851211,0.24165621,0.927272727,0.42287695,0.903119869,1.716692133,0.394015031,0.006047081,0.120320005,58.96423059
421,1.245161811,-0.38984388,-0.86235446,-0.58472812,421.0,0.728,-0.13792817,1.244877309,0.35728807,0.927272727,0.42287695,0.903119869,1.615845948,0.397601084,0.017107488,0.112971607,58.42595718
422,1.21478196,0.020876827,-1.0675544,0.022746211,422.0,1.07,0.18097503,1.129006137,0.461816444,0.927272727,0.418544194,0.903119869,1.658855144,0.388877366,0.044579832,0.103814411,57.80190262
423,1.178174539,0.93262661,-0.79817563,-0.47747052,423.0,-2.02357777,0.47953832,2.652083952,0.454725123,0.927272727,0.415944541,0.903119869,1.608740104,0.381101774,0.0084792,0.101869391,57.6987472
424,1.12040209,1.0344346,-1.0183457,-1.2319165,424.0,0.293,1.1134524,1.730152051,0.439326352,0.927272727,0.415944541,0.903119869,1.847342752,0.371908102,0.014046277,0.10106628,57.99282338
425,1.077286572,1.0033339,-0.35679451,-0.32760289,425.0,0.284,1.1735754,0.760439641,0.33379074,0.927272727,0.415944541,0.903119869,2.004415119,0.394116122,0.013173297,0.096115784,58.3770475
426,1.034223188,1.0201831,-0.60201675,-0.18384327,426.0,-0.603,1.766753,1.214343014,0.341866707,0.927272727,0.415944541,0.897372742,2.347787909,0.426432542,0.013090966,0.095163605,58.87413209
427,0.970210941,1.0988528,-0.89185119,-0.69607896,427.0,0.737,1.8132136,1.045803832,0.413980129,0.927272727,0.415944541,0.870279146,2.376917186,0.46689687,0.004990251,0.134630971,59.48632811
428,0.905717811,0.054801598,-1.2520431,-0.37743294,428.0,-0.606,1.9468623,2.1713326,0.429583084,0.927272727,0.415944541,0.870279146,2.329679524,0.470628876,0.006900903,0.110672981,59.62530158
429,1.209362672,0.2464758,-1.2006761,0.10424584,429.0,0.804,1.5926646,4.814716633,0.428011245,0.927272727,0.415944541,0.870279146,2.029293366,0.448815787,0.02582654,0.108594299,59.40596968
